track_id,channel,sequence,timestamp_s,frequency_hz,psd_db
1,1,7,1782148360.082275,49.938331604003906,-22.240734100341797
1,1,8,1782148399.095252,49.93718338012695,-22.24996566772461
1,1,9,1782148438.008428,49.936561584472656,-22.255651473999023
1,1,10,1782148476.886395,49.939483642578125,-22.260330200195312
1,1,11,1782148515.646499,49.944034576416016,-22.256141662597656
1,1,12,1782148554.831265,49.950740814208984,-22.27278709411621
1,1,13,1782148594.1207,49.96510696411133,-22.26904296875
1,1,14,1782148632.975721,49.97880172729492,-22.283084869384766
1,1,15,1782148671.784674,49.98875427246094,-22.293720245361328
1,1,16,1782148710.832058,49.998722076416016,-22.3013858795166
1,1,17,1782148749.795287,50.00676345825195,-22.312114715576172
1,1,18,1782148788.763972,50.00897216796875,-22.322301864624023
1,1,19,1782148827.49019,50.00888442993164,-22.33095359802246
1,1,20,1782148866.351996,50.005489349365234,-22.329587936401367
1,1,21,1782148905.686078,49.999046325683594,-22.322921752929688
1,1,22,1782148944.838435,49.98933029174805,-22.316593170166016
1,1,23,1782148983.442225,49.98030090332031,-22.30536651611328
1,1,24,1782149022.512289,49.97454071044922,-22.29903793334961
1,1,25,1782149061.288065,49.96836471557617,-22.291166305541992
1,1,26,1782149099.963662,49.96525955200195,-22.278705596923828
1,1,27,1782149138.994458,49.962825775146484,-22.27273178100586
1,1,28,1782149178.158596,49.960914611816406,-22.26999282836914
2,1,7,1782148360.082275,549.3181762695312,-46.63137435913086
2,1,8,1782148399.095252,549.3056640625,-46.77165222167969
2,1,9,1782148438.008428,549.3151245117188,-46.76151657104492
2,1,10,1782148476.886395,549.3392333984375,-46.73881149291992
2,1,11,1782148515.646499,549.389404296875,-46.63658142089844
2,1,12,1782148554.831265,549.45556640625,-46.5718879699707
2,1,13,1782148594.1207,549.5988159179688,-46.46502685546875
2,1,14,1782148632.975721,549.7399291992188,-46.33060073852539
2,1,15,1782148671.784674,549.8624267578125,-46.35324478149414
2,1,16,1782148710.832058,549.9642944335938,-46.174678802490234
2,1,17,1782148749.795287,550.0538940429688,-46.10057830810547
2,1,18,1782148788.763972,550.0831909179688,-46.04840087890625
2,1,19,1782148827.49019,550.0985717773438,-46.12217712402344
2,1,20,1782148866.351996,550.0636596679688,-46.13385009765625
2,1,21,1782148905.686078,549.9867553710938,-46.08760070800781
2,1,22,1782148944.838435,549.8828735351562,-46.10108184814453
2,1,23,1782148983.442225,549.7890625,-46.21591567993164
2,1,24,1782149022.512289,549.7203369140625,-46.3547477722168
2,1,25,1782149061.288065,549.6502075195312,-46.374549865722656
2,1,26,1782149099.963662,549.6171264648438,-46.54657745361328
2,1,27,1782149138.994458,549.5952758789062,-46.5798225402832
2,1,28,1782149178.158596,549.5711669921875,-46.59608840942383
3,1,7,1782148360.082275,1248.5172119140625,-56.33609390258789
3,1,8,1782148399.095252,1248.4864501953125,-56.15302658081055
3,1,9,1782148438.008428,1248.49951171875,-56.02170944213867
3,1,10,1782148476.886395,1248.593017578125,-56.017295837402344
3,1,11,1782148515.646499,1248.687255859375,-56.24140167236328
3,1,12,1782148554.831265,1248.8245849609375,-56.5997314453125
3,1,13,1782148594.1207,1248.9771728515625,-57.12578582763672
3,1,14,1782148632.975721,1249.25244140625,-57.84812927246094
3,1,15,1782148671.784674,1249.6590576171875,-57.326881408691406
3,1,16,1782148710.832058,1249.927001953125,-56.858116149902344
3,1,17,1782148749.795287,1250.115966796875,-56.536476135253906
3,1,18,1782148788.763972,1250.1728515625,-56.351436614990234
3,1,19,1782148827.49019,1250.1859130859375,-56.24050521850586
3,1,20,1782148866.351996,1250.150390625,-56.433204650878906
3,1,21,1782148905.686078,1249.9964599609375,-56.269168853759766
3,1,22,1782148944.838435,1249.77392578125,-56.307491302490234
3,1,23,1782148983.442225,1249.5384521484375,-56.63658142089844
3,1,24,1782149022.512289,1249.3997802734375,-56.695274353027344
3,1,25,1782149061.288065,1249.265625,-56.8790397644043
3,1,26,1782149099.963662,1249.1641845703125,-57.20897674560547
3,1,27,1782149138.994458,1249.10888671875,-57.08089828491211
3,1,28,1782149178.158596,1249.0745849609375,-56.94884490966797
4,1,7,1782148360.082275,1947.6646728515625,-60.138946533203125
4,1,8,1782148399.095252,1947.6202392578125,-60.32612609863281
4,1,9,1782148438.008428,1947.627197265625,-60.308555603027344
4,1,10,1782148476.886395,1947.71337890625,-60.15043258666992
4,1,11,1782148515.646499,1947.8831787109375,-60.05706787109375
4,1,12,1782148554.831265,1948.086181640625,-60.41868591308594
4,1,13,1782148594.1207,1948.2689208984375,-60.914730072021484
4,1,14,1782148632.975721,1948.4993896484375,-61.31407165527344
4,1,15,1782148671.784674,1948.8917236328125,-62.223289489746094
4,1,16,1782148710.832058,1949.735107421875,-62.24433135986328
4,1,17,1782148749.795287,1950.2261962890625,-61.43727111816406
4,1,18,1782148788.763972,1950.319580078125,-61.12016677856445
4,1,19,1782148827.49019,1950.3912353515625,-61.102603912353516
4,1,20,1782148866.351996,1950.4039306640625,-61.529380798339844
4,1,21,1782148905.686078,1950.087646484375,-61.231082916259766
4,1,22,1782148944.838435,1949.74658203125,-61.14127731323242
4,1,23,1782148983.442225,1949.387939453125,-61.62677001953125
4,1,24,1782149022.512289,1949.1253662109375,-61.83766174316406
4,1,25,1782149061.288065,1948.8909912109375,-61.249664306640625
4,1,26,1782149099.963662,1948.73046875,-61.02933883666992
4,1,27,1782149138.994458,1948.6429443359375,-60.79299545288086
4,1,28,1782149178.158596,1948.59033203125,-60.54414367675781
