file,condition,cycle,channel,sample_rate_hz,samples,duration_s,frequency_resolution_hz,rms_v,peak_to_peak_v,energy_0_5khz,energy_5_10khz,energy_10_15khz,energy_15_20khz,energy_20_25khz,energy_25_30khz,energy_30_35khz,energy_35_40khz,energy_40_45khz,energy_45_50khz,energy_50_55khz,energy_55_60khz,energy_60_65khz,energy_65_70khz,energy_70_75khz,energy_75_80khz,energy_80_85khz,energy_85_90khz,energy_90_95khz,energy_95_100khz
cycle_000_ch1.npz,post_watering,0,1,500000.0,300000,0.6,1.6666666666666667,0.09244959368580237,1.6032737493515015,0.006615152791802878,0.00010254216857800997,5.289127771945711e-05,3.420137810103444e-05,2.5037353380238196e-05,0.0001917142717675855,1.9713277466816442e-05,1.858333943234543e-05,1.75523460895595e-05,1.7664388958333158e-05,1.901885684526402e-05,1.7870538827973647e-05,1.8244112227510695e-05,1.8034506517875007e-05,1.817296524035798e-05,1.829979427433467e-05,1.9675211757485123e-05,1.7497787820545134e-05,1.7407643482338057e-05,1.7685231971842672e-05
cycle_000_ch2.npz,post_watering,0,2,500000.0,300000,0.6,1.6666666666666667,0.018646504282982895,0.08154682442545891,0.0003465350151908229,4.163580391746227e-08,1.4770001167105113e-08,6.8483597609323085e-09,6.26607062912433e-09,9.035719686868213e-07,7.265354062768001e-09,7.246807229871725e-09,6.4038749649369095e-09,6.782443976642688e-09,1.918270111253265e-08,6.950850252739392e-09,6.702361974225304e-09,6.582954441866705e-09,6.37058157563185e-09,6.409399509238406e-09,4.2057131475525093e-08,6.1842212260449044e-09,5.80037730905754e-09,6.493287605136493e-09
cycle_000_ch3.npz,post_watering,0,3,500000.0,300000,0.6,1.6666666666666667,0.03516527217780357,0.12206779047846794,0.0012356979211100955,8.69301618233789e-09,4.378086873073454e-09,3.589187848659941e-09,3.4246858210166675e-09,4.4435232429135646e-09,2.9924539857738575e-09,3.118401033961135e-09,2.957720649118165e-09,2.905826238975712e-09,3.0450720997978155e-09,3.109336880599343e-09,3.15788273306285e-09,3.2377337622328814e-09,3.830261229115128e-09,4.3948758604361754e-09,5.80082595515522e-09,8.017176801446845e-09,9.415889535964638e-09,1.0261731284455456e-08
cycle_001_ch1.npz,post_watering,1,1,500000.0,300000,0.6,1.6666666666666667,0.09333287883863273,1.6273831725120544,0.006826941572418527,9.992238936581635e-05,5.412917911970719e-05,3.473545006030281e-05,2.565780302181073e-05,0.00019075100768224627,1.920406789068689e-05,1.8150530816417135e-05,1.7985712902167364e-05,1.760011321883325e-05,1.941393322327424e-05,1.759915700713546e-05,1.801841182327516e-05,1.782637964218942e-05,1.7624974839423265e-05,1.765408741060814e-05,1.9757042205202384e-05,1.7927210962014594e-05,1.719987358287897e-05,1.711015385914827e-05
cycle_001_ch2.npz,post_watering,1,2,500000.0,300000,0.6,1.6666666666666667,0.018967330763758502,0.09953509271144867,0.00035729999803040945,4.767990968774721e-08,1.6728144193893642e-08,6.87175622568347e-09,6.277594657394911e-09,9.352471747701031e-07,7.377763208109018e-09,6.800587026131629e-09,6.481694241973824e-09,6.683376397493322e-09,2.007763214714935e-08,6.87182946512993e-09,6.929785360871845e-09,6.747286726337891e-09,6.487881964731486e-09,6.819679019240265e-09,4.3274210515577886e-08,6.369374659657787e-09,5.9241987463827395e-09,6.6334379562166366e-09
cycle_001_ch3.npz,post_watering,1,3,500000.0,300000,0.6,1.6666666666666667,0.035983365056231176,0.12448497489094734,0.0012953585196468142,8.795993217088188e-09,4.01162396796816e-09,3.3306124314074067e-09,3.1402474376212564e-09,4.041028558760493e-09,3.0235582081236855e-09,2.9042966537720596e-09,3.007867686272024e-09,3.0136245295347414e-09,2.922411097479903e-09,3.046276382518408e-09,3.1428046371843412e-09,3.176145562617151e-09,3.50697753678607e-09,4.085986110806241e-09,5.258824420936411e-09,7.034069145052356e-09,9.176547237192991e-09,1.0867936185948145e-08
cycle_002_ch1.npz,post_watering,2,1,500000.0,300000,0.6,1.6666666666666667,0.09388944065244602,1.6514925956726074,0.006814907751079481,9.998570179557681e-05,5.205291273408732e-05,3.342517424297058e-05,2.5308781389726417e-05,0.00019766118583757899,1.916417815169454e-05,1.805558649560666e-05,1.7641998440581768e-05,1.7892453037083302e-05,1.9444757652420924e-05,1.7431333995746248e-05,1.8063320942806287e-05,1.841852461635417e-05,1.8253178978643978e-05,1.821427296637028e-05,2.0076436945763584e-05,1.8375565486700752e-05,1.7859907596699686e-05,1.7669710951435184e-05
cycle_002_ch2.npz,post_watering,2,2,500000.0,300000,0.6,1.6666666666666667,0.0192074009952943,0.08454486727714539,0.00036733573240644874,4.9151147201403304e-08,1.7204867230709542e-08,7.087212310836015e-09,6.402919010238284e-09,9.587284043084876e-07,7.904903002743309e-09,6.916880944460837e-09,6.45312747988429e-09,6.824276094961224e-09,2.032765606297557e-08,7.2766642491928935e-09,6.6116976287451925e-09,6.930066638230623e-09,6.176490466122285e-09,6.561901660840157e-09,4.436020401794459e-08,6.701526349180272e-09,5.843968538092364e-09,6.3178302532221195e-09
cycle_002_ch3.npz,post_watering,2,3,500000.0,300000,0.6,1.6666666666666667,0.03695286068508624,0.12750645354390144,0.0013664378478994142,8.338121194331208e-09,4.129264513957363e-09,3.611581968543506e-09,3.2192779325355097e-09,4.25659090517667e-09,2.7907076354856664e-09,2.923224193733015e-09,2.7561928635451647e-09,2.9380113949782435e-09,2.8598799304968727e-09,2.8859662919630257e-09,3.033210640241411e-09,3.2491767887892447e-09,3.3676337355129422e-09,3.6943296385742455e-09,4.714805190925212e-09,7.660046508123741e-09,1.043672460571798e-08,1.1246631224675704e-08
