file,condition,cycle,channel,sample_rate_hz,samples,duration_s,frequency_resolution_hz,rms_v,peak_to_peak_v,energy_0_5khz,energy_5_10khz,energy_10_15khz,energy_15_20khz,energy_20_25khz,energy_25_30khz,energy_30_35khz,energy_35_40khz,energy_40_45khz,energy_45_50khz,energy_50_55khz,energy_55_60khz,energy_60_65khz,energy_65_70khz,energy_70_75khz,energy_75_80khz,energy_80_85khz,energy_85_90khz,energy_90_95khz,energy_95_100khz
cycle_000_ch1.npz,mcu_on_idle,0,1,500000.0,300000,0.6,1.6666666666666667,0.0009256249559079433,0.010849211364984512,3.4885846586901346e-07,1.0536390683846246e-08,7.808591835358952e-09,6.840472012697319e-09,1.4235667784976924e-07,9.021180850392865e-09,6.428984268815643e-09,6.777244200020311e-09,6.490032160807976e-09,9.201445064601102e-09,7.036069166252636e-09,6.763388623064741e-09,6.4450975472229624e-09,6.696858452990163e-09,1.494027066692622e-08,6.557017163269987e-09,6.8457666895945e-09,6.893522797710073e-09,6.832050540037705e-09,7.478411180873165e-09
cycle_000_ch3.npz,mcu_on_idle,0,3,500000.0,300000,0.6,1.6666666666666667,0.13226817324670317,0.676812618970871,0.016941355690116528,0.00032489167503214087,8.748403241827698e-05,2.4951366980056026e-05,2.2832651243098342e-05,1.283982361472138e-05,7.1178643013268065e-06,4.696898934924964e-06,3.828213480472145e-06,2.8688400023100264e-06,2.0901208259941805e-06,1.742550176179937e-06,1.5657887421551654e-06,1.3365057589878687e-06,1.1334027221696825e-06,1.0580285967809676e-06,1.015266195154912e-06,9.069499901861593e-07,9.035238535952857e-07,9.197440042620007e-07
cycle_000_ch4.npz,mcu_on_idle,0,4,500000.0,300000,0.6,1.6666666666666667,0.05905763042416557,0.30699992179870605,0.00028475453010296913,0.0022090833691891165,0.0005522393112159333,0.00014635733059709704,0.00012500824132911825,6.361584000684633e-05,3.256785472717906e-05,1.9031240624627125e-05,1.4503598038600239e-05,9.686107510629426e-06,6.36398889001905e-06,4.7331581541532e-06,3.987979711395059e-06,2.895535771926411e-06,2.2608532806757444e-06,1.999916144234624e-06,1.6797897008553359e-06,1.3163845725999866e-06,1.101532805294781e-06,1.1433307772577088e-06
cycle_001_ch1.npz,mcu_on_idle,1,1,500000.0,300000,0.6,1.6666666666666667,0.0009358429248496723,0.010849211364984512,3.53789910406813e-07,1.1955662755643842e-08,8.155640186474788e-09,6.95619545642073e-09,1.4485004434683403e-07,9.30721156189572e-09,6.609622386829193e-09,6.622390567791088e-09,7.053820190818747e-09,9.447191070876987e-09,6.793407652709388e-09,6.55626477109682e-09,6.87336524911217e-09,6.8709783731341445e-09,1.473038979460041e-08,6.910938757661654e-09,6.7930529217557024e-09,7.211948294980549e-09,7.16803682511667e-09,7.52714332742545e-09
cycle_001_ch3.npz,mcu_on_idle,1,3,500000.0,300000,0.6,1.6666666666666667,0.13193148767192367,0.6647266745567322,0.01684611987157007,0.00032332664686500777,8.768308531055549e-05,2.526051252682085e-05,2.21393620539195e-05,1.2629962770047063e-05,7.469054699075589e-06,4.6043986036161746e-06,3.7983226264435944e-06,2.8418899161800073e-06,2.080177686160106e-06,1.7164366223306574e-06,1.505350753893761e-06,1.356667461074852e-06,1.163637059984162e-06,1.0445410864782834e-06,1.011328631007136e-06,9.0995372907032e-07,8.937372855127983e-07,8.800732537310444e-07
cycle_001_ch4.npz,mcu_on_idle,1,4,500000.0,300000,0.6,1.6666666666666667,0.05901739071149412,0.3141952306032181,0.00025461098640127626,0.0022070188221345677,0.0005534672031283253,0.00014679505800225946,0.00012223064715724855,6.390174487054442e-05,3.321772669682727e-05,1.8694542551931934e-05,1.4085515873264267e-05,9.903640720775465e-06,6.412495970916466e-06,4.728442096324099e-06,3.8696408683886185e-06,2.8693388344585445e-06,2.2895153139138548e-06,2.0310383476103863e-06,1.6330413347408242e-06,1.2719130938741566e-06,1.1241847611559926e-06,1.1615726276754816e-06
cycle_002_ch1.npz,mcu_on_idle,2,1,500000.0,300000,0.6,1.6666666666666667,0.0009348908093869843,0.01024647755548358,3.634123207191231e-07,1.1713359511053655e-08,8.486140808926013e-09,7.68712178962827e-09,1.4678800828251975e-07,9.047882474305236e-09,6.633361967755231e-09,6.653824799466477e-09,6.636695289940161e-09,9.277686711932666e-09,6.664571814306535e-09,6.6378065751689884e-09,6.604684390207167e-09,6.355189173916633e-09,1.450533380284139e-08,6.643267107817813e-09,6.689473753589134e-09,7.031522942576509e-09,6.8822308094447805e-09,7.782682182943444e-09
cycle_002_ch3.npz,mcu_on_idle,2,3,500000.0,300000,0.6,1.6666666666666667,0.13278880143688737,0.676812618970871,0.017122161323077957,0.00032265115994031877,8.690181131356368e-05,2.6035295662835825e-05,2.2991625234991097e-05,1.2755035029328953e-05,7.037813824436775e-06,4.817661736339058e-06,3.752007341057373e-06,2.9117357863663994e-06,2.0778996830191877e-06,1.7385782752879046e-06,1.4979949305264974e-06,1.2724371042406668e-06,1.1420233850027084e-06,1.0632558067766107e-06,9.65986716544084e-07,9.055145641165538e-07,8.941094671989818e-07,8.956113005329405e-07
cycle_002_ch4.npz,mcu_on_idle,2,4,500000.0,300000,0.6,1.6666666666666667,0.05921185259043544,0.316593661904335,0.0002951068862463984,0.002207706101169271,0.0005482027693407513,0.00015226174884866434,0.00012529485041392244,6.295122586608655e-05,3.228622173933208e-05,1.9596549095456492e-05,1.4017820959491023e-05,9.693489647987456e-06,6.389305448217103e-06,4.733841331114338e-06,4.011549800482263e-06,2.8139629429690266e-06,2.2909351040242648e-06,1.9792592320281784e-06,1.6526717041335057e-06,1.2992840428009051e-06,1.1187268770662625e-06,1.1351197050135815e-06
