file,condition,cycle,channel,sample_rate_hz,samples,duration_s,frequency_resolution_hz,rms_v,peak_to_peak_v,energy_0_5khz,energy_5_10khz,energy_10_15khz,energy_15_20khz,energy_20_25khz,energy_25_30khz,energy_30_35khz,energy_35_40khz,energy_40_45khz,energy_45_50khz,energy_50_55khz,energy_55_60khz,energy_60_65khz,energy_65_70khz,energy_70_75khz,energy_75_80khz,energy_80_85khz,energy_85_90khz,energy_90_95khz,energy_95_100khz
cycle_000_ch1.npz,watering,0,1,500000.0,300000,0.6,1.6666666666666667,0.13516534132544508,1.9046410918235779,0.01640152533667069,0.00010803674065473983,5.7044606291129495e-05,3.758104058922717e-05,2.959297714241082e-05,0.0003311319037378742,2.402982493723513e-05,2.4347010272622246e-05,2.2909363326384854e-05,2.3630825376616523e-05,2.79974460096893e-05,2.6840427484616625e-05,2.616564221455329e-05,2.828637052763246e-05,2.713258256087444e-05,2.8627214745588986e-05,3.346050771527516e-05,2.821968084987635e-05,2.8454056170502646e-05,3.007905913573615e-05
cycle_000_ch2.npz,watering,0,2,500000.0,300000,0.6,1.6666666666666667,0.02977408201278753,0.12112101167440414,0.0009137260517945953,9.436957174057321e-08,3.359548234671372e-08,1.9608626373314545e-08,1.4146900179066025e-08,1.8255446284742047e-06,2.1957898659474962e-08,2.0196846831618515e-08,1.5979017209667094e-08,2.3285912549308575e-08,4.872293997768352e-08,2.764247068075599e-08,2.6062228753273592e-08,3.327284547295991e-08,2.904070866413206e-08,3.4735307467272014e-08,1.0078104942460353e-07,3.337579983289579e-08,3.3952680414202794e-08,4.1619726994294075e-08
cycle_000_ch3.npz,watering,0,3,500000.0,300000,0.6,1.6666666666666667,0.04190841608398333,0.15409547463059425,0.001829527945213255,1.1727714266893816e-08,4.3786119390189295e-09,3.417304518314294e-09,2.8641247684615956e-09,4.159686250138527e-09,2.8078337849913477e-09,2.8205810988862118e-09,2.689392830045529e-09,2.6646389186971493e-09,2.7793356052448994e-09,2.8849399170409833e-09,2.7406584913032433e-09,3.0163508218463728e-09,3.1865615547240048e-09,3.6604265465048857e-09,4.187659767707516e-09,5.97472491917563e-09,8.833058614856285e-09,1.1918390081469093e-08
