file,condition,cycle,channel,sample_rate_hz,samples,duration_s,frequency_resolution_hz,rms_v,peak_to_peak_v,energy_0_5khz,energy_5_10khz,energy_10_15khz,energy_15_20khz,energy_20_25khz,energy_25_30khz,energy_30_35khz,energy_35_40khz,energy_40_45khz,energy_45_50khz,energy_50_55khz,energy_55_60khz,energy_60_65khz,energy_65_70khz,energy_70_75khz,energy_75_80khz,energy_80_85khz,energy_85_90khz,energy_90_95khz,energy_95_100khz
cycle_000_ch1.npz,mcu_on_idle,0,1,500000.0,300000,0.6,1.6666666666666667,0.14697993653719474,1.8323128819465637,0.019131763527929915,0.00010549268621999719,5.618392521691047e-05,3.582595215103166e-05,2.8283403597748612e-05,0.0003593494036147621,2.1983656906847003e-05,2.0895194330014522e-05,2.061706818607467e-05,1.9943100329660702e-05,2.2951178387789896e-05,2.0641467019858964e-05,2.1133713507697206e-05,2.1526225389028567e-05,2.118214859244753e-05,2.1235712476931754e-05,2.555701218874076e-05,1.9958665555820662e-05,2.0408373590559908e-05,2.095479713964289e-05
cycle_000_ch2.npz,mcu_on_idle,0,2,500000.0,300000,0.6,1.6666666666666667,0.0342747555268231,0.12531828135252,0.0011727737715423257,1.1846012163899958e-07,2.9624589287378318e-08,1.2470814926646312e-08,1.0265302776932495e-08,2.1356669411035947e-06,1.1532054448888357e-08,9.513353491458099e-09,8.940277478917969e-09,9.145086988713062e-09,3.64154383773126e-08,9.805516361144087e-09,9.240924565059182e-09,9.890301214605976e-09,9.22795134909429e-09,9.253023649819634e-09,8.084417382326746e-08,8.749334678929844e-09,9.006669025167618e-09,9.280218634302893e-09
cycle_000_ch3.npz,mcu_on_idle,0,3,500000.0,300000,0.6,1.6666666666666667,0.04718045884496408,0.15409547463059425,0.002225623265356227,1.546379586554138e-08,3.3699518319222656e-09,2.6949963962023666e-09,2.4013671053339847e-09,3.9547355782096495e-09,2.172522788281787e-09,2.234478791468249e-09,2.3054221274535876e-09,2.2708126203293325e-09,2.312253415760036e-09,2.1624940896583027e-09,2.289967541881898e-09,2.45521100904247e-09,2.6691464475661903e-09,3.264432976290734e-09,3.6570249825800356e-09,4.7047799082032146e-09,5.71830621634256e-09,7.337714454245903e-09
cycle_001_ch1.npz,mcu_on_idle,1,1,500000.0,300000,0.6,1.6666666666666667,0.14671219113821382,1.8443675637245178,0.0192090570596395,0.00010486613139136435,5.3751230994401376e-05,3.54365002607329e-05,2.6890013110250405e-05,0.0003645695117903718,2.1306366590631964e-05,2.0733312634354676e-05,2.010028159622583e-05,2.041391918932616e-05,2.3185374621059965e-05,2.0717663206565734e-05,2.023710768696291e-05,2.0713894575615448e-05,2.0690150963861075e-05,2.0974155184747322e-05,2.5033818594265753e-05,2.0915801926280337e-05,2.000512178412903e-05,2.0880015416431034e-05
cycle_001_ch2.npz,mcu_on_idle,1,2,500000.0,300000,0.6,1.6666666666666667,0.0335711791510678,0.12112101167440414,0.0011249512681108247,1.2075788495428228e-07,3.212075577441308e-08,1.3640844755410428e-08,1.0943895601284775e-08,2.157368704366866e-06,1.2419394936876263e-08,1.0798454976218393e-08,9.289229394990242e-09,1.0726880628686815e-08,3.7691735526074325e-08,1.1192913252212468e-08,9.730970402208337e-09,1.1115038807496974e-08,9.614318904975528e-09,1.0774839035746892e-08,8.254817110029535e-08,1.0810305629351995e-08,1.0169551781599924e-08,1.1175676691334543e-08
cycle_001_ch3.npz,mcu_on_idle,1,3,500000.0,300000,0.6,1.6666666666666667,0.04710582564784025,0.15409547463059425,0.002219748022207972,1.5395298087542816e-08,3.879498825742671e-09,2.9197167009802335e-09,2.548095210401387e-09,3.798309726510128e-09,2.2277058316673233e-09,2.261351250306359e-09,2.2999418881934563e-09,2.3054410995005043e-09,2.217021133406944e-09,2.2310918029327363e-09,2.283058244292497e-09,2.5548863732656125e-09,2.5669303004180273e-09,3.16587756030963e-09,3.573693907720826e-09,4.332318329642753e-09,6.2412888921043176e-09,9.91366836680301e-09
cycle_002_ch1.npz,mcu_on_idle,2,1,500000.0,300000,0.6,1.6666666666666667,0.1464087848529592,1.8082035183906555,0.01905188528023217,0.0001061055160943038,5.474855712439044e-05,3.425611166961543e-05,2.7047043475600304e-05,0.0003595882520452435,2.1241753147087182e-05,2.081735166879538e-05,1.9913462492125537e-05,1.983409058785488e-05,2.2092682717358593e-05,1.9875681575338894e-05,1.9483537255524828e-05,2.0693378944884654e-05,1.9959405779814213e-05,1.9916549251921272e-05,2.3810416647587963e-05,1.9939287782596652e-05,2.0125773385411093e-05,2.0558862185519304e-05
cycle_002_ch2.npz,mcu_on_idle,2,2,500000.0,300000,0.6,1.6666666666666667,0.033458140781034706,0.12172062695026398,0.0011173045124067535,1.2979688293156056e-07,3.6430781401043674e-08,1.250345968063948e-08,1.045969895348728e-08,2.159459795752651e-06,1.204225888853133e-08,1.0475914916996439e-08,9.218436874540718e-09,9.618936868678961e-09,3.733586466153329e-08,1.0337010513010714e-08,9.256225954440304e-09,9.272563962506784e-09,8.715067290079549e-09,8.904792390796358e-09,8.154396198027889e-08,8.862049961698156e-09,8.584629291227132e-09,9.511484449778492e-09
cycle_002_ch3.npz,mcu_on_idle,2,3,500000.0,300000,0.6,1.6666666666666667,0.04707174573618674,0.15409547463059425,0.0022170303608412393,1.6573082405696375e-08,3.881025910894688e-09,2.8093526467959544e-09,2.4488598627750437e-09,4.010049488215696e-09,2.2988989180791983e-09,2.4997218400481167e-09,2.4616443913837566e-09,2.264252034109602e-09,2.3626850429930042e-09,2.349380870441726e-09,2.3965239784360817e-09,2.649384470572326e-09,2.8247267015883086e-09,3.1235397058660266e-09,3.773230151480969e-09,5.01805921185167e-09,6.679300759383077e-09,6.959255685561224e-09
