sequence,rank,f_low_hz,f_high_hz,center_hz,delay_s,delay_std_s,mean_coherence,phase_span_rad,bins,slope_rad_per_hz,intercept_rad,delay_us,delay_std_us
0,1,97595.21484375,99975.5859375,98800.72547642972,9.396452283632584e-07,0.0002528892843320722,0.8925113545774632,-0.09106836339828028,79,-5.903965092813432e-06,-11.922955947481562,0.9396452283632584,252.8892843320722
1,1,95947.265625,99975.5859375,98018.38278758721,8.708340347346117e-07,0.00021340100685988617,0.8874191065092734,-0.09558183525944307,133,-5.47161161203643e-06,0.5958046088766059,0.8708340347346116,213.40100685988617
2,1,97412.109375,99975.5859375,98710.20219716681,9.87409617571373e-07,0.00020048974022009557,0.9231198533088131,0.06949930352337663,85,-6.204077601292265e-06,-5.628456320729173,0.987409617571373,200.48974022009557
4,1,96405.029296875,99975.5859375,98215.41085816806,-2.1405573977399305e-06,0.00024417842502361825,0.8846950314139282,0.024178946996300965,118,1.34495187906541e-05,-32.68944994527929,-2.1405573977399306,244.17842502361825
5,1,95489.501953125,99975.5859375,97812.65447906847,-8.67771179067395e-07,0.00018637373620314772,0.9068679554490892,-0.04174402495142715,148,5.452367122310162e-06,30.925595179264395,-0.867771179067395,186.37373620314773
6,1,96405.029296875,98846.435546875,97630.61094092001,2.8018361069816675e-06,0.0002782114271754184,0.8549275817577798,0.07392302851143029,81,-1.7604455460512465e-05,33.173390904581,2.8018361069816673,278.2114271754184
7,1,94818.115234375,99975.5859375,97412.57176294,1.3087736072970414e-07,0.0002223623705251679,0.8791839732894295,-0.101812998646853,170,-8.223267099793195e-07,-31.293963630936585,0.13087736072970413,222.3623705251679
8,1,97198.486328125,99578.857421875,98402.17653315228,2.7345683071974446e-06,0.00024892152338877463,0.8657715969444019,-0.05439468175603235,79,-1.718179940926194e-05,7.998009915411348,2.7345683071974447,248.92152338877463
9,1,95703.125,98114.013671875,96918.18988985973,2.678365853913548e-06,0.00024689910677484116,0.8576199706546523,0.044314064822635224,80,-1.682866898056111e-05,-4.641313743993063,2.678365853913548,246.89910677484116
10,1,94909.66796875,99975.5859375,97441.69205787069,3.771165460002565e-07,0.00023636202136056888,0.8583214813967803,0.005345728708647357,167,-2.369493140923126e-06,31.693255341024667,0.3771165460002565,236.3620213605689
11,1,89080.810546875,92437.744140625,90765.9169029479,4.100686102731829e-07,0.0002728358874875921,0.8299355575422052,-0.09187267470588978,111,-2.5765370670040146e-06,19.10206095173488,0.4100686102731829,272.8358874875921
11,2,96252.44140625,98297.119140625,97284.56218572982,4.9307437446604624e-06,0.00029607874610297543,0.8380902457829035,-0.12704403669140518,68,-3.098077664991827e-05,21.88672998806374,4.930743744660463,296.0787461029754
12,1,93627.9296875,99975.5859375,96859.81312396054,1.5553558919183065e-06,0.0002453835632219522,0.8727412294231308,-0.2834814248031847,209,-9.772589287536303e-06,44.97563360587448,1.5553558919183066,245.38356322195222
13,1,96923.828125,99975.5859375,98450.26943587577,-1.3862277194117788e-07,0.0002498688400662826,0.8625815139953719,-0.018407185862884035,101,8.709925639013155e-07,-144.58900731650655,-0.1386227719411779,249.8688400662826
15,1,97778.3203125,99975.5859375,98878.65802020654,-1.2368347397470715e-06,0.00022353736447928776,0.866306635547137,-0.0003932667876333784,73,7.771261864188086e-06,-0.7257768044822724,-1.2368347397470716,223.53736447928776
17,1,94573.974609375,99975.5859375,97309.3363620828,-5.735870959580122e-07,0.0002848291852756941,0.8790310686413727,-0.07427365319676849,178,3.6039540137111897e-06,5.968798255621286,-0.5735870959580123,284.8291852756941
18,1,93902.587890625,99975.5859375,97018.8957513851,-2.2447466392765685e-07,0.0002452145296432103,0.8684243119492459,-0.10234083653983106,200,1.410415910224329e-06,31.317921286722495,-0.22447466392765686,245.2145296432103
19,1,95947.265625,99975.5859375,97992.59719064139,-2.202340749085111e-06,0.00025139097610711293,0.8905758944068963,-0.11206207530342382,133,1.3837715036054454e-05,11.25861726453902,-2.2023407490851112,251.39097610711295
19,2,93505.859375,95886.23046875,94680.80559931799,1.3016036627527413e-06,0.00029565212436753665,0.8336341583603388,0.06675754572252224,79,-8.178217009579157e-06,13.397047631458301,1.3016036627527414,295.65212436753666
