channel,before_frequency_hz,after_frequency_hz,shift_hz,before_iqr_hz,after_iqr_hz,amplitude_change_db,prominence_before_db,prominence_after_db,p_value_unadjusted,shift_exceeds_resolution,p_value_fdr
1,49.98929128411805,49.9847807103287,-0.0045105737893536,0.004170087946583578,0.0,-0.7578682030645467,55.37084955902458,66.58695472201865,1.0,False,nan
1,49.98929128411805,49.9847807103287,-0.0045105737893536,0.004170087946583578,0.0,0.5747063037517037,38.74706344929079,52.50706183178787,1.0,False,nan
1,4609.623564356785,4603.64443646859,-5.979127888194853,5.1317527440078265,0.0,20.041237230301675,25.775588000399623,62.86013896174305,1.0,True,nan
2,49.987960887781966,49.98440636351224,-0.0035545242697239132,0.0028514076963119805,0.0,-1.0233356031127627,74.71538276174898,91.7059939825557,0.5,False,nan
2,49.987960887781966,49.98440636351224,-0.0035545242697239132,0.0028514076963119805,0.0,-0.7938445474289395,47.39439288474986,55.36910940689196,0.5,False,nan
2,149.96423499974577,149.98215308296926,0.017918083223491976,0.010307714136246204,0.0,-1.4143091364898623,46.263083309605406,53.812761259228196,0.5,False,nan
2,950.0,950.0,0.0,0.0,0.0,-1.0214314689292365,48.21565145488191,58.55039029757492,nan,False,nan
2,1949.4144484448193,1550.0,-399.4144484448193,99.91932496997765,0.0,-1.0257143207253279,43.9226451965,66.74486785398061,0.5,True,nan
2,2050.0,2050.0,0.0,0.0,0.0,-1.0397375625778125,40.74478826424563,51.05286712892419,nan,False,nan
2,3349.242515364338,4349.566674305517,1000.3241589411791,200.1799933494949,0.0,0.15019037114004163,40.10355225645213,59.30640321647812,0.5,True,nan
2,4048.8570968384197,4349.566674305517,300.70957746709746,399.8090152307268,0.0,-2.6649191015582545,40.59201666574394,52.42351931102742,1.0,True,nan
2,4748.656170942984,4650.0,-98.65617094298432,149.48455135818585,0.0,-1.830021578820407,36.73206659146305,56.99759408989678,0.6373518882339371,True,nan
2,13747.04741634696,14448.238536584679,701.1911202377178,250.83499734583893,0.0,1.3321020466421771,33.50270663218281,54.27788364873051,0.5,True,nan
2,26937.390705358266,26967.091153763246,29.700448404979397,16.18457377447703,0.0,29.802230067816012,29.58458400088047,102.4347493771393,0.5,True,nan
2,39907.416227924004,39907.08596188166,-0.3302660423432826,103.35710279826162,0.0,4.323783361763049,32.10447321143032,51.65330380248854,0.5,False,nan
2,53874.06647989546,53934.06219378462,59.99571388916229,32.72833442225965,0.0,3.664855218504769,46.533019596890654,66.34615180829904,0.5,True,nan
2,80810.57736498877,80900.76086563496,90.18350064619153,50.65121678553987,0.0,3.5394856041763205,48.7789436346938,74.73571474070533,0.5,True,nan
3,49.98803492884219,49.956206630774695,-0.0318282980674951,0.003266496504252814,0.0,-0.8153231822814568,84.63540212166573,75.96148338020254,0.5,False,nan
3,49.98803492884219,49.956206630774695,-0.0318282980674951,0.003266496504252814,0.0,-1.7855984736383306,58.874663971504866,48.63533168782032,0.5,False,nan
3,50.0,50.0,0.0,0.0,0.0,-3.319182141764969,50.136405496716435,51.198817462201276,nan,False,nan
3,550.0,550.0,0.0,0.0,0.0,-3.0232062434222087,47.33602638719985,48.096639934252494,nan,False,nan
3,1050.0,1050.0,0.0,0.0,0.0,-1.8622517871896065,47.007750086280836,48.87376156080144,nan,False,nan
3,1649.6148609154652,1749.697891377765,100.0830304622998,50.10319799711988,0.0,-0.9146611462004159,44.83495050860748,54.509417123924095,0.5,True,nan
3,2649.226076037976,2550.0,-99.22607603797587,99.77224508502604,0.0,-4.964188565050463,39.63273471036358,49.53169278498382,0.6373518882339371,True,nan
3,3650.0,3949.5286191080313,299.5286191080313,499.31996128684114,0.0,-1.964258731425275,37.532130397568224,46.14813638176683,1.0,True,nan
