channel,before_frequency_hz,after_frequency_hz,shift_hz,before_iqr_hz,after_iqr_hz,amplitude_change_db,prominence_before_db,prominence_after_db,p_value_unadjusted,shift_exceeds_resolution,p_value_fdr
1,49.98929128411805,50.012864110666925,0.023572826548871717,0.004170087946583578,0.018608029744491716,-4.750931712580144,55.37084955902458,47.20098281229689,0.1,False,nan
1,49.98929128411805,50.012864110666925,0.023572826548871717,0.004170087946583578,0.018608029744491716,-4.0015911120307806,38.74706344929079,33.61124839158137,0.1,False,nan
1,250.0,250.0,0.0,0.0,0.0,-4.5865925207017,34.068260494445674,32.914248714128625,nan,False,nan
1,1249.648158678165,951.6666666666667,-297.9814920114982,0.10215288765311925,0.0,-4.48167558897174,31.839933900272868,28.243182013552968,0.06360256962075367,True,nan
1,1949.469657725699,1950.6647238387352,1.1950661130360913,0.11618682404809988,0.20888940566555902,-3.908934789404853,27.339107623501135,23.07716740455635,0.1,False,nan
1,4609.623564356785,4593.477044743966,-16.146519612819247,5.1317527440078265,3.4419660355197266,18.04991089783212,25.775588000399623,46.17131325531622,0.1,True,nan
1,22939.684261433187,23074.519046327056,134.83478489386835,233.0952945319259,402.51779551586515,0.3053854908545759,22.095416459988257,21.730519623890046,0.4,True,nan
1,26937.4119503612,26932.77213228347,-4.639818077728705,16.18020678566245,13.155535934489308,-0.6982128847997728,21.689891956209223,22.857032954607533,0.7,True,nan
1,26937.4119503612,26932.77213228347,-4.639818077728705,16.18020678566245,13.155535934489308,-4.226532587728251,52.711122107487455,49.731030415465504,0.7,True,nan
1,27337.254850563495,27332.70427533128,-4.550575232213305,16.301693493423954,13.09712414671958,-8.01268762990125,24.90608912322594,21.294372342529186,0.7,True,nan
2,49.987960887781966,50.01668351194739,0.02872262416542526,0.0028514076963119805,0.00819228130038141,-5.131726516880143,74.71538276174898,68.70491871013385,0.1,False,nan
2,49.987960887781966,50.01668351194739,0.02872262416542526,0.0028514076963119805,0.00819228130038141,-3.8781830001153565,47.39439288474986,37.46954555305686,0.1,False,nan
2,151.66666666666669,151.66666666666669,0.0,0.0,0.0,-5.271286431791054,46.263083309605406,43.90323815293347,nan,False,nan
2,1049.7539173953853,1250.4055858320578,200.65166843667248,50.07617762914765,0.20044003993803017,-5.071166735196343,48.21565145488191,45.796918004518204,0.1,True,nan
2,1949.4144484448193,1950.6311232997064,1.21667485488706,99.91932496997765,0.2810004443831531,-5.6600234097833635,43.9226451965,40.29862184167905,0.1,False,nan
2,2249.4881448403976,2250.7140614934906,1.2259166530930088,0.14589545568924223,0.3136066115412177,-7.7098002456781245,40.74478826424563,37.542572625540615,0.1,False,nan
2,3049.3071536875023,3050.9009902939565,1.5938366064542606,0.18171626739876956,0.42068953222178607,-4.204181657082259,40.10355225645213,39.39573581073229,0.1,False,nan
2,4048.8570968384197,3750.291108141483,-298.56598869693653,449.7870048373752,149.8829182221125,-5.138879805136426,40.59201666574394,40.097093765848925,0.4,True,nan
2,4649.275161925707,4351.311875699162,-297.9632862265453,49.83674648442229,150.69395536816683,-5.433246275473721,36.73206659146305,32.16479314150793,0.4,True,nan
2,6148.277553224422,5251.658603482774,-896.6189497416481,449.76730803719147,0.8186877761863798,-6.44985751224965,39.9139036071402,34.854414992330646,0.7,True,nan
2,6148.693316066796,6352.361459501312,203.66814343451642,0.41940871985480044,400.8366977677233,-5.609568869452133,34.397118259953814,29.548971557955042,0.1,True,nan
2,26937.39070535827,26932.78472843513,-4.6059769231396785,16.18457377447703,13.156844100882154,-31.39546496899284,69.07165573124902,32.371476319217365,0.7,True,nan
3,49.98803492884219,50.016878445683034,0.028843516840844075,0.003266496504252814,0.00788090922615936,-2.1317628148044,84.63540212166573,81.7057587632799,0.1,False,nan
3,49.98803492884219,50.016878445683034,0.028843516840844075,0.003266496504252814,0.00788090922615936,-6.788683103653476,58.874663971504866,58.48565257215644,0.1,False,nan
3,151.66666666666669,151.66666666666669,0.0,0.0,0.0,-7.0868866604728,50.136405496716435,50.17518730233172,nan,False,nan
3,849.7975530285272,850.2887219702188,0.49116894169162606,0.0627291953387612,0.11715255629235344,-9.065820719513141,47.33602638719985,42.9595850159356,0.1,False,nan
3,1549.64112197533,1450.4535805941916,-99.18754138113832,0.11329236864207815,0.21123813138683545,-10.948639335169233,47.007750086280836,34.830457146511705,0.1,True,nan
3,2049.50653675012,2050.6605199378973,1.1539831877771576,0.10553824849102966,0.2952272928559978,-12.519304337133065,44.83495050860748,30.5607153720276,0.1,False,nan
3,2649.226076037976,2750.2315175333665,101.00544149539064,100.0607915432056,99.9081118133854,-9.612651582534667,39.63273471036358,29.180317798245795,0.4,True,nan
3,3149.09405405739,3050.9154225732195,-98.17863148417064,49.891773183698206,0.41418137966957147,-6.688557055989449,36.07206353095614,30.31412759349776,0.7,True,nan
3,4649.03750854148,4451.518816170144,-197.51869237133542,0.3422922266745445,349.44724114160545,-8.008874675028451,37.532130397568224,27.36859300493012,0.7,True,nan
3,4649.03750854148,4650.345539245364,1.3080307038844694,0.3422922266745445,150.04028403344273,-10.151466277221672,37.98264995134775,24.577645631680937,0.7,False,nan
3,5048.56732012903,4951.851290822263,-96.71602930676727,49.48093467910621,200.8449205616398,-4.391982725849772,27.748895584770253,26.784918726043486,1.0,True,nan
3,6948.462164447713,6151.793415408661,-796.6687490390523,500.33806915254354,100.84881047209637,-5.734165098249008,32.24838411076425,25.667387353324415,0.2,True,nan
